id;code;description
36480;8-851.5;Operativer äußerer Kreislauf (bei Anwendung der Herz-Lungen-Maschine): Mit profunder Hypothermie (unter 20 °C)
36481;8-851.50;Operativer äußerer Kreislauf (bei Anwendung der Herz-Lungen-Maschine): Mit profunder Hypothermie (unter 20 °C): Ohne intraaortale Ballonokklusion
36482;8-851.51;Operativer äußerer Kreislauf (bei Anwendung der Herz-Lungen-Maschine): Mit profunder Hypothermie (unter 20 °C): Mit intraaortaler Ballonokklusion
36483;8-851.x;Operativer äußerer Kreislauf (bei Anwendung der Herz-Lungen-Maschine): Sonstige
36484;8-851.y;Operativer äußerer Kreislauf (bei Anwendung der Herz-Lungen-Maschine): N.n.bez.
36485;8-852;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie
36486;8-852.0;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung
36487;8-852.00;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung bis unter 48 Stunden
36488;8-852.01;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 48 bis unter 96 Stunden
36489;8-852.03;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 96 bis unter 144 Stunden
36490;8-852.04;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 144 bis unter 192 Stunden
36491;8-852.05;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 192 bis unter 240 Stunden
36492;8-852.06;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 240 bis unter 288 Stunden
36493;8-852.07;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 288 bis unter 384 Stunden
36494;8-852.08;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 384 bis unter 480 Stunden
36495;8-852.09;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 480 bis unter 576 Stunden
36496;8-852.0b;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 576 bis unter 768 Stunden
36497;8-852.0c;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 768 bis unter 960 Stunden
36498;8-852.0d;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 960 bis unter 1.152 Stunden
36499;8-852.0f;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 1.152 bis unter 1.344 Stunden
36500;8-852.0g;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 1.344 bis unter 1.536 Stunden
36501;8-852.0h;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 1.536 bis unter 1.728 Stunden
36502;8-852.0j;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 1.728 bis unter 1.920 Stunden
36503;8-852.0k;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 1.920 bis unter 2.112 Stunden
36504;8-852.0m;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 2.112 bis unter 2.304 Stunden
36505;8-852.0n;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 2.304 bis unter 2.496 Stunden
36506;8-852.0p;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 2.496 bis unter 2.688 Stunden
36507;8-852.0q;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 2.688 bis unter 2.880 Stunden
36508;8-852.0r;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 2.880 bis unter 3.072 Stunden
36509;8-852.0s;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 3.072 bis unter 3.264 Stunden
36510;8-852.0t;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 3.264 bis unter 3.456 Stunden
36511;8-852.0u;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 3.456 bis unter 3.648 Stunden
36512;8-852.0v;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 3.648 bis unter 3.840 Stunden
36513;8-852.0w;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 3.840 bis unter 4.032 Stunden
36514;8-852.0z;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung: Dauer der Behandlung 4.032 oder mehr Stunden
36515;8-852.1;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Prä-ECMO-Therapie
36516;8-852.2;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Extrakorporale Lungenunterstützung
36517;8-852.20;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Extrakorporale Lungenunterstützung
36518;8-852.21;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Extrakorporale Lungenunterstützung
36519;8-852.22;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Extrakorporale Lungenunterstützung
36520;8-852.23;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Extrakorporale Lungenunterstützung
36521;8-852.24;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Extrakorporale Lungenunterstützung
36522;8-852.25;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Extrakorporale Lungenunterstützung
36523;8-852.3;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine
36524;8-852.30;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine: Dauer der Behandlung bis unter 48 Stunden
36525;8-852.31;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine: Dauer der Behandlung 48 bis unter 96 Stunden
36526;8-852.33;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine: Dauer der Behandlung 96 bis unter 144 Stunden
36527;8-852.34;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine: Dauer der Behandlung 144 bis unter 192 Stunden
36528;8-852.35;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine: Dauer der Behandlung 192 bis unter 240 Stunden
36529;8-852.36;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine: Dauer der Behandlung 240 bis unter 288 Stunden
36530;8-852.37;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine: Dauer der Behandlung 288 bis unter 384 Stunden
36531;8-852.38;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine: Dauer der Behandlung 384 bis unter 480 Stunden
36532;8-852.39;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine: Dauer der Behandlung 480 bis unter 576 Stunden
36533;8-852.3b;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine: Dauer der Behandlung 576 bis unter 768 Stunden
36534;8-852.3c;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine: Dauer der Behandlung 768 bis unter 960 Stunden
36535;8-852.3d;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine: Dauer der Behandlung 960 bis unter 1.152 Stunden
36536;8-852.3e;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine: Dauer der Behandlung 1.152 oder mehr Stunden
36537;8-852.4;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung eines doppellumigen Katheters als Kanüle
36538;8-852.5;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale CO2-Elimination
36539;8-852.6;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung eines ECMO-Moduls mit Kanülen im rechten Vorhof und in der Pulmonalarterie (RA-PA-ECMO-Modul) bei Rechtsherz-Unterstützung
36540;8-852.60;Anwendung eines ECMO-Moduls mit Kanülen im rechten Vorhof und in der Pulmonalarterie (RA-PA-ECMO-Modul) bei Rechtsherz-Unterstützung: Dauer der Behandlung bis unter 48 Stunden
36541;8-852.61;Anwendung eines ECMO-Moduls mit Kanülen im rechten Vorhof und in der Pulmonalarterie (RA-PA-ECMO-Modul) bei Rechtsherz-Unterstützung: Dauer der Behandlung 48 bis unter 96 Stunden
36542;8-852.63;Anwendung eines ECMO-Moduls mit Kanülen im rechten Vorhof und in der Pulmonalarterie (RA-PA-ECMO-Modul) bei Rechtsherz-Unterstützung: Dauer der Behandlung 96 bis unter 144 Stunden
36543;8-852.64;Anwendung eines ECMO-Moduls mit Kanülen im rechten Vorhof und in der Pulmonalarterie (RA-PA-ECMO-Modul) bei Rechtsherz-Unterstützung: Dauer der Behandlung 144 bis unter 192 Stunden
36544;8-852.65;Anwendung eines ECMO-Moduls mit Kanülen im rechten Vorhof und in der Pulmonalarterie (RA-PA-ECMO-Modul) bei Rechtsherz-Unterstützung: Dauer der Behandlung 192 bis unter 240 Stunden
36545;8-852.66;Anwendung eines ECMO-Moduls mit Kanülen im rechten Vorhof und in der Pulmonalarterie (RA-PA-ECMO-Modul) bei Rechtsherz-Unterstützung: Dauer der Behandlung 240 bis unter 288 Stunden
36546;8-852.67;Anwendung eines ECMO-Moduls mit Kanülen im rechten Vorhof und in der Pulmonalarterie (RA-PA-ECMO-Modul) bei Rechtsherz-Unterstützung: Dauer der Behandlung 288 bis unter 384 Stunden
36547;8-852.68;Anwendung eines ECMO-Moduls mit Kanülen im rechten Vorhof und in der Pulmonalarterie (RA-PA-ECMO-Modul) bei Rechtsherz-Unterstützung: Dauer der Behandlung 384 bis unter 480 Stunden
36548;8-852.69;Anwendung eines ECMO-Moduls mit Kanülen im rechten Vorhof und in der Pulmonalarterie (RA-PA-ECMO-Modul) bei Rechtsherz-Unterstützung: Dauer der Behandlung 480 bis unter 576 Stunden
36549;8-852.6b;Anwendung eines ECMO-Moduls mit Kanülen im rechten Vorhof und in der Pulmonalarterie (RA-PA-ECMO-Modul) bei Rechtsherz-Unterstützung: Dauer der Behandlung 576 bis unter 768 Stunden
36550;8-852.6c;Anwendung eines ECMO-Moduls mit Kanülen im rechten Vorhof und in der Pulmonalarterie (RA-PA-ECMO-Modul) bei Rechtsherz-Unterstützung: Dauer der Behandlung 768 bis unter 960 Stunden
36551;8-852.6d;Anwendung eines ECMO-Moduls mit Kanülen im rechten Vorhof und in der Pulmonalarterie (RA-PA-ECMO-Modul) bei Rechtsherz-Unterstützung: Dauer der Behandlung 960 bis unter 1.152 Stunden
36552;8-852.6e;Anwendung eines ECMO-Moduls mit Kanülen im rechten Vorhof und in der Pulmonalarterie (RA-PA-ECMO-Modul) bei Rechtsherz-Unterstützung: Dauer der Behandlung 1.152 oder mehr Stunden
36553;8-853;Hämofiltration
36554;8-853.1;Hämofiltration: Kontinuierlich
36555;8-853.13;Hämofiltration: Kontinuierlich
36556;8-853.14;Hämofiltration: Kontinuierlich
36557;8-853.15;Hämofiltration: Kontinuierlich
36558;8-853.16;Hämofiltration: Kontinuierlich
36559;8-853.17;Hämofiltration: Kontinuierlich
36560;8-853.19;Hämofiltration: Kontinuierlich
36561;8-853.1a;Hämofiltration: Kontinuierlich
36562;8-853.1b;Hämofiltration: Kontinuierlich
36563;8-853.1c;Hämofiltration: Kontinuierlich
36564;8-853.1d;Hämofiltration: Kontinuierlich
36565;8-853.1e;Hämofiltration: Kontinuierlich
36566;8-853.1f;Hämofiltration: Kontinuierlich
36567;8-853.3;Hämofiltration: Intermittierend
36568;8-853.4;Hämofiltration: Intermittierend
36569;8-853.5;Hämofiltration: Verlängert intermittierend
36570;8-853.6;Hämofiltration: Verlängert intermittierend
36571;8-853.7;Hämofiltration: Kontinuierlich
36572;8-853.70;Hämofiltration: Kontinuierlich
36573;8-853.71;Hämofiltration: Kontinuierlich
36574;8-853.72;Hämofiltration: Kontinuierlich
36575;8-853.73;Hämofiltration: Kontinuierlich
36576;8-853.74;Hämofiltration: Kontinuierlich
36577;8-853.76;Hämofiltration: Kontinuierlich
36578;8-853.77;Hämofiltration: Kontinuierlich
36579;8-853.78;Hämofiltration: Kontinuierlich
36580;8-853.79;Hämofiltration: Kontinuierlich
36581;8-853.7a;Hämofiltration: Kontinuierlich
36582;8-853.7b;Hämofiltration: Kontinuierlich
36583;8-853.7c;Hämofiltration: Kontinuierlich
36584;8-853.8;Hämofiltration: Kontinuierlich
36585;8-853.80;Hämofiltration: Kontinuierlich
36586;8-853.81;Hämofiltration: Kontinuierlich
36587;8-853.82;Hämofiltration: Kontinuierlich
36588;8-853.83;Hämofiltration: Kontinuierlich
36589;8-853.84;Hämofiltration: Kontinuierlich
36590;8-853.86;Hämofiltration: Kontinuierlich
36591;8-853.87;Hämofiltration: Kontinuierlich
36592;8-853.88;Hämofiltration: Kontinuierlich
36593;8-853.89;Hämofiltration: Kontinuierlich
36594;8-853.8a;Hämofiltration: Kontinuierlich
36595;8-853.8b;Hämofiltration: Kontinuierlich
36596;8-853.8c;Hämofiltration: Kontinuierlich
36597;8-853.x;Hämofiltration: Sonstige
36598;8-853.y;Hämofiltration: N.n.bez.
36599;8-854;Hämodialyse
36600;8-854.2;Hämodialyse: Intermittierend
36601;8-854.3;Hämodialyse: Intermittierend
36602;8-854.4;Hämodialyse: Verlängert intermittierend
36603;8-854.5;Hämodialyse: Verlängert intermittierend
36604;8-854.6;Hämodialyse: Kontinuierlich
36605;8-854.60;Hämodialyse: Kontinuierlich
36606;8-854.61;Hämodialyse: Kontinuierlich
36607;8-854.62;Hämodialyse: Kontinuierlich
36608;8-854.63;Hämodialyse: Kontinuierlich
36609;8-854.64;Hämodialyse: Kontinuierlich
36610;8-854.66;Hämodialyse: Kontinuierlich
36611;8-854.67;Hämodialyse: Kontinuierlich
36612;8-854.68;Hämodialyse: Kontinuierlich
36613;8-854.69;Hämodialyse: Kontinuierlich
36614;8-854.6a;Hämodialyse: Kontinuierlich
36615;8-854.6b;Hämodialyse: Kontinuierlich
36616;8-854.6c;Hämodialyse: Kontinuierlich
36617;8-854.7;Hämodialyse: Kontinuierlich
36618;8-854.70;Hämodialyse: Kontinuierlich
36619;8-854.71;Hämodialyse: Kontinuierlich
36620;8-854.72;Hämodialyse: Kontinuierlich
36621;8-854.73;Hämodialyse: Kontinuierlich
36622;8-854.74;Hämodialyse: Kontinuierlich
36623;8-854.76;Hämodialyse: Kontinuierlich
36624;8-854.77;Hämodialyse: Kontinuierlich
36625;8-854.78;Hämodialyse: Kontinuierlich
36626;8-854.79;Hämodialyse: Kontinuierlich
36627;8-854.7a;Hämodialyse: Kontinuierlich
36628;8-854.7b;Hämodialyse: Kontinuierlich
36629;8-854.7c;Hämodialyse: Kontinuierlich
36630;8-854.8;Hämodialyse: Verlängert intermittierend
36631;8-854.x;Hämodialyse: Sonstige
36632;8-854.y;Hämodialyse: N.n.bez.
36633;8-855;Hämodiafiltration
36634;8-855.1;Hämodiafiltration: Kontinuierlich
36635;8-855.13;Hämodiafiltration: Kontinuierlich
36636;8-855.14;Hämodiafiltration: Kontinuierlich
36637;8-855.15;Hämodiafiltration: Kontinuierlich
36638;8-855.16;Hämodiafiltration: Kontinuierlich
36639;8-855.17;Hämodiafiltration: Kontinuierlich
36640;8-855.19;Hämodiafiltration: Kontinuierlich
36641;8-855.1a;Hämodiafiltration: Kontinuierlich
36642;8-855.1b;Hämodiafiltration: Kontinuierlich
36643;8-855.1c;Hämodiafiltration: Kontinuierlich
36644;8-855.1d;Hämodiafiltration: Kontinuierlich
36645;8-855.1e;Hämodiafiltration: Kontinuierlich
36646;8-855.1f;Hämodiafiltration: Kontinuierlich
36647;8-855.3;Hämodiafiltration: Intermittierend
36648;8-855.4;Hämodiafiltration: Intermittierend
36649;8-855.5;Hämodiafiltration: Verlängert intermittierend
36650;8-855.6;Hämodiafiltration: Verlängert intermittierend
36651;8-855.7;Hämodiafiltration: Kontinuierlich
36652;8-855.70;Hämodiafiltration: Kontinuierlich
36653;8-855.71;Hämodiafiltration: Kontinuierlich
36654;8-855.72;Hämodiafiltration: Kontinuierlich
36655;8-855.73;Hämodiafiltration: Kontinuierlich
36656;8-855.74;Hämodiafiltration: Kontinuierlich
36657;8-855.76;Hämodiafiltration: Kontinuierlich
36658;8-855.77;Hämodiafiltration: Kontinuierlich
36659;8-855.78;Hämodiafiltration: Kontinuierlich
36660;8-855.79;Hämodiafiltration: Kontinuierlich
36661;8-855.7a;Hämodiafiltration: Kontinuierlich
36662;8-855.7b;Hämodiafiltration: Kontinuierlich
36663;8-855.7c;Hämodiafiltration: Kontinuierlich
36664;8-855.8;Hämodiafiltration: Kontinuierlich
36665;8-855.80;Hämodiafiltration: Kontinuierlich
36666;8-855.81;Hämodiafiltration: Kontinuierlich
36667;8-855.82;Hämodiafiltration: Kontinuierlich
36668;8-855.83;Hämodiafiltration: Kontinuierlich
36669;8-855.84;Hämodiafiltration: Kontinuierlich
36670;8-855.86;Hämodiafiltration: Kontinuierlich
36671;8-855.87;Hämodiafiltration: Kontinuierlich
36672;8-855.88;Hämodiafiltration: Kontinuierlich
36673;8-855.89;Hämodiafiltration: Kontinuierlich
36674;8-855.8a;Hämodiafiltration: Kontinuierlich
36675;8-855.8b;Hämodiafiltration: Kontinuierlich
36676;8-855.8c;Hämodiafiltration: Kontinuierlich
36677;8-855.x;Hämodiafiltration: Sonstige
36678;8-855.y;Hämodiafiltration: N.n.bez.
36679;8-857;Peritonealdialyse
36680;8-857.0;Peritonealdialyse: Intermittierend
36681;8-857.1;Peritonealdialyse: Kontinuierlich
36682;8-857.10;Peritonealdialyse: Kontinuierlich
36683;8-857.11;Peritonealdialyse: Kontinuierlich
36684;8-857.12;Peritonealdialyse: Kontinuierlich
36685;8-857.13;Peritonealdialyse: Kontinuierlich
36686;8-857.14;Peritonealdialyse: Kontinuierlich
36687;8-857.16;Peritonealdialyse: Kontinuierlich
36688;8-857.17;Peritonealdialyse: Kontinuierlich
36689;8-857.18;Peritonealdialyse: Kontinuierlich
36690;8-857.19;Peritonealdialyse: Kontinuierlich
36691;8-857.1a;Peritonealdialyse: Kontinuierlich
36692;8-857.1b;Peritonealdialyse: Kontinuierlich
36693;8-857.1c;Peritonealdialyse: Kontinuierlich
36694;8-857.2;Peritonealdialyse: Kontinuierlich
36695;8-857.20;Peritonealdialyse: Kontinuierlich
36696;8-857.21;Peritonealdialyse: Kontinuierlich
36697;8-857.22;Peritonealdialyse: Kontinuierlich
36698;8-857.23;Peritonealdialyse: Kontinuierlich
36699;8-857.24;Peritonealdialyse: Kontinuierlich
36700;8-857.26;Peritonealdialyse: Kontinuierlich
36701;8-857.27;Peritonealdialyse: Kontinuierlich
36702;8-857.28;Peritonealdialyse: Kontinuierlich
36703;8-857.29;Peritonealdialyse: Kontinuierlich
36704;8-857.2a;Peritonealdialyse: Kontinuierlich
36705;8-857.2b;Peritonealdialyse: Kontinuierlich
36706;8-857.2c;Peritonealdialyse: Kontinuierlich
36707;8-857.x;Peritonealdialyse: Sonstige
36708;8-857.y;Peritonealdialyse: N.n.bez.
36709;8-858;Extrakorporale Leberersatztherapie [Leberdialyse]
36710;8-858.0;Extrakorporale Leberersatztherapie [Leberdialyse]: Ohne individualiserte pH-Steuerung zum Azidoseausgleich
36711;8-858.1;Extrakorporale Leberersatztherapie [Leberdialyse]: Mit individualiserter pH-Steuerung zum Azidoseausgleich
36712;8-859;Isolierte Extremitätenperfusion
36713;8-85a;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates
36714;8-85a.0;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Intermittierend
36715;8-85a.00;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Intermittierend: 1 bis 3 Behandlungen
36716;8-85a.01;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Intermittierend: 4 bis 5 Behandlungen
36717;8-85a.02;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Intermittierend: 6 bis 10 Behandlungen
36718;8-85a.03;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Intermittierend: 11 oder mehr Behandlungen
36719;8-85a.1;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Kontinuierlich
36720;8-85a.13;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Kontinuierlich: Bis 24 Stunden
36721;8-85a.14;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Kontinuierlich: Mehr als 24 bis 72 Stunden
36722;8-85a.15;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Kontinuierlich: Mehr als 72 bis 144 Stunden
36723;8-85a.16;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Kontinuierlich: Mehr als 144 bis 264 Stunden
36724;8-85a.17;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Kontinuierlich: Mehr als 264 bis 432 Stunden
36725;8-85a.19;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Kontinuierlich: Mehr als 432 bis 600 Stunden
36726;8-85a.1a;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Kontinuierlich: Mehr als 600 bis 960 Stunden
36727;8-85a.1b;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Kontinuierlich: Mehr als 960 bis 1.320 Stunden
36728;8-85a.1c;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Kontinuierlich: Mehr als 1.320 bis 1.680 Stunden
36729;8-85a.1d;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Kontinuierlich: Mehr als 1.680 bis 2.040 Stunden
36730;8-85a.1e;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Kontinuierlich: Mehr als 2.040 bis 2.400 Stunden
36731;8-85a.1f;Dialyseverfahren wegen mangelnder Funktionsaufnahme und Versagen eines Nierentransplantates: Kontinuierlich: Mehr als 2.400 Stunden
36732;8-85b;Anwendung von Blutegeln zur Sicherung des venösen Blutabstroms bei Lappenplastiken oder replantierten Gliedmaßenabschnitten
36733;8-860;Autogene Stammzelltherapie
36734;8-860.0;Autogene Stammzelltherapie: Intramyokardiale Stammzelltherapie
36735;8-860.00;Autogene Stammzelltherapie: Intramyokardiale Stammzelltherapie: Ohne Anreicherung von Stammzellfraktionen oder kulturelle Vermehrung
36736;8-860.01;Autogene Stammzelltherapie: Intramyokardiale Stammzelltherapie: Mit Anreicherung von Stammzellfraktionen und/oder kultureller Vermehrung
36737;8-860.1;Autogene Stammzelltherapie: Intrakoronare Stammzelltherapie
36738;8-860.10;Autogene Stammzelltherapie: Intrakoronare Stammzelltherapie: Ohne Anreicherung von Stammzellfraktionen oder kulturelle Vermehrung
36739;8-860.11;Autogene Stammzelltherapie: Intrakoronare Stammzelltherapie: Mit Anreicherung von Stammzellfraktionen und/oder kultureller Vermehrung
36740;8-860.2;Autogene Stammzelltherapie: Paraurethrale Stammzelltherapie
36741;8-860.20;Autogene Stammzelltherapie: Paraurethrale Stammzelltherapie: Ohne Anreicherung von Stammzellfraktionen oder kulturelle Vermehrung
